,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,score
9531,"['DualImputer', 'OneHotEncoder']",False,entropy,9,0.1,5,3,8,41,0.9136615515771526
9532,"['DualImputer', 'PCA']",True,gini,12,0.4,1,16,64,41,0.9283674339300937
9533,DualImputer,True,gini,10,0.45,13,7,256,41,0.8842924126172209
9534,"['DualImputer', 'PCA']",False,entropy,12,0.1,20,14,256,41,0.8991048593350384
9535,DualImputer,False,entropy,8,0.45,10,14,16,41,0.9195652173913043
9536,"['DualImputer', 'OneHotEncoder']",True,entropy,8,0.25,18,7,64,41,0.8257885763000854
9537,DualImputer,False,entropy,10,0.35000000000000003,14,12,128,41,0.909313725490196
9538,DualImputer,True,gini,9,0.45,1,17,8,41,0.9327791986359761
9539,"['DualImputer', 'OneHotEncoder']",False,entropy,8,0.1,9,17,16,41,0.8990622335890878
9540,"['DualImputer', 'OneHotEncoder']",False,entropy,10,0.05,12,5,256,41,0.8800298380221655
9541,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.15000000000000002,8,14,128,41,0.925383631713555
9542,"['DualImputer', 'OneHotEncoder']",True,entropy,11,0.45,3,4,64,41,0.9298380221653877
9543,DualImputer,True,entropy,9,0.2,11,13,32,41,0.88000852514919
9544,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.05,6,16,64,41,0.8887681159420291
9545,DualImputer,False,gini,NoneType,0.25,9,8,128,41,0.928303495311168
9546,DualImputer,True,gini,NoneType,0.25,6,3,512,41,0.9312446717817562
9547,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.1,11,11,32,41,0.8712489343563513
9548,DualImputer,True,entropy,10,0.1,5,17,32,41,0.9137041773231032
9549,DualImputer,False,gini,11,0.3,5,19,64,41,0.9385549872122763
9550,"['DualImputer', 'PCA']",True,gini,12,0.45,4,5,32,41,0.9312659846547314
9551,DualImputer,True,gini,9,0.15000000000000002,19,5,128,41,0.773231031543052
9552,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.35000000000000003,8,8,64,41,0.9166027280477408
9553,"['DualImputer', 'OneHotEncoder']",True,gini,9,0.3,11,6,64,41,0.8932438192668372
9554,"['DualImputer', 'PCA']",True,entropy,9,0.4,10,15,128,41,0.9151960784313724
9555,"['DualImputer', 'OneHotEncoder']",True,entropy,11,0.35000000000000003,9,18,8,41,0.8843776641091219
9556,DualImputer,True,entropy,12,0.1,12,20,32,41,0.8463341858482524
9557,DualImputer,True,gini,10,0.25,12,7,32,41,0.8638533674339302
9558,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.05,4,7,128,41,0.9181372549019609
9559,DualImputer,True,gini,8,0.35000000000000003,19,10,8,41,0.745225916453538
9560,DualImputer,True,entropy,8,0.15000000000000002,17,12,16,41,0.7599531116794543
9561,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.4,14,13,64,41,0.9123188405797101
9562,NoneType,False,entropy,8,0.1,1,5,512,45,0.9573667711598745
9563,NoneType,False,gini,9,0.2,19,2,32,45,0.9501567398119122
9564,"['DualImputer', 'OneHotEncoder']",False,gini,9,0.45,15,7,256,41,0.8946717817561808
9565,"['DualImputer', 'PCA']",False,gini,NoneType,0.2,6,2,8,41,0.9020673486786018
9566,OneHotEncoder,False,entropy,8,0.05,20,16,64,45,0.9557993730407522
9567,NoneType,True,entropy,9,0.45,20,20,8,45,0.937617554858934
9568,"['DualImputer', 'PCA']",False,gini,11,0.45,12,15,128,41,0.9122122762148337
9569,DualImputer,False,gini,NoneType,0.3,19,12,8,41,0.8286871270247229
9570,PCA,False,gini,8,0.3,1,20,8,45,0.8689655172413792
9571,NoneType,True,gini,8,0.15000000000000002,20,20,512,45,0.9523510971786834
9572,NoneType,False,entropy,12,0.3,11,2,512,45,0.9507836990595612
9573,"['DualImputer', 'OneHotEncoder']",True,gini,9,0.25,20,20,8,41,0.7905583972719523
9574,NoneType,False,entropy,8,0.1,20,6,512,45,0.9551724137931034
9575,OneHotEncoder,False,gini,12,0.15000000000000002,1,17,8,45,0.9561128526645767
9576,OneHotEncoder,True,gini,9,0.4,18,20,512,45,0.9529780564263323
9577,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.3,14,5,8,41,0.8902600170502983
9578,OneHotEncoder,True,entropy,8,0.15000000000000002,8,20,512,45,0.9592476489028211
9579,NoneType,False,entropy,NoneType,0.45,18,2,64,45,0.94858934169279
9580,OneHotEncoder,False,entropy,8,0.4,2,3,8,45,0.9548589341692789
9581,OneHotEncoder,False,gini,8,0.2,1,4,512,45,0.9573667711598745
9582,OneHotEncoder,True,gini,NoneType,0.45,14,2,256,45,0.9504702194357366
9583,OneHotEncoder,True,entropy,NoneType,0.45,7,20,512,45,0.9532915360501567
9584,OneHotEncoder,False,entropy,8,0.45,18,20,64,45,0.95141065830721
9585,NoneType,False,gini,8,0.35000000000000003,1,2,512,45,0.9539184952978056
9586,OneHotEncoder,False,gini,8,0.25,19,20,128,45,0.95705329153605
9587,NoneType,False,entropy,8,0.1,20,16,128,45,0.9526645768025078
9588,PCA,True,entropy,NoneType,0.2,16,4,512,45,0.8824451410658305
9589,NoneType,False,gini,8,0.1,1,20,16,45,0.9445141065830722
9590,OneHotEncoder,False,entropy,10,0.05,10,7,64,45,0.9633228840125392
9591,NoneType,True,entropy,8,0.35000000000000003,1,19,64,45,0.9510971786833856
9592,NoneType,True,gini,10,0.3,1,20,512,45,0.95141065830721
9593,NoneType,False,gini,NoneType,0.35000000000000003,17,2,8,45,0.9463949843260189
9594,NoneType,False,gini,9,0.45,1,20,512,45,0.9532915360501567
9595,NoneType,False,gini,NoneType,0.15000000000000002,1,15,128,45,0.9589341692789969
9596,PCA,False,entropy,NoneType,0.4,2,5,8,45,0.8855799373040751
9597,OneHotEncoder,False,gini,NoneType,0.25,14,3,256,45,0.9579937304075233
9598,OneHotEncoder,False,entropy,NoneType,0.45,2,7,256,45,0.9592476489028213
9599,OneHotEncoder,False,entropy,8,0.25,19,2,256,45,0.95705329153605
9600,NoneType,False,entropy,10,0.45,20,20,512,45,0.9489028213166144
9601,NoneType,False,entropy,NoneType,0.2,7,3,64,45,0.9536050156739811
9602,OneHotEncoder,False,gini,NoneType,0.35000000000000003,3,20,8,45,0.9529780564263323
9603,OneHotEncoder,False,gini,NoneType,0.15000000000000002,2,4,16,45,0.9586206896551722
9604,OneHotEncoder,False,entropy,NoneType,0.4,4,3,64,45,0.9576802507836989
9605,OneHotEncoder,False,gini,NoneType,0.05,15,20,32,45,0.9567398119122256
9606,NoneType,False,gini,8,0.05,2,4,64,45,0.9432601880877742
9607,OneHotEncoder,False,entropy,12,0.05,1,20,256,45,0.9661442006269592
9608,OneHotEncoder,True,gini,12,0.2,20,16,256,45,0.95705329153605
9609,OneHotEncoder,False,gini,10,0.35000000000000003,19,5,8,45,0.9482758620689655
9610,OneHotEncoder,True,gini,10,0.1,20,2,512,45,0.9579937304075233
9611,OneHotEncoder,False,entropy,12,0.1,1,20,8,45,0.9507836990595611
9612,NoneType,True,entropy,NoneType,0.35000000000000003,2,7,512,45,0.9536050156739811
9613,OneHotEncoder,True,entropy,12,0.2,2,20,128,45,0.95705329153605
9614,OneHotEncoder,False,entropy,NoneType,0.25,17,16,8,45,0.9501567398119122
9615,NoneType,False,gini,NoneType,0.15000000000000002,1,19,512,45,0.9576802507836991
9616,OneHotEncoder,True,entropy,NoneType,0.45,15,19,16,45,0.94858934169279
9617,OneHotEncoder,True,gini,8,0.35000000000000003,1,8,512,45,0.958307210031348
9618,OneHotEncoder,True,gini,NoneType,0.1,5,20,32,45,0.9592476489028214
9619,PCA,False,gini,12,0.1,1,3,8,45,0.85423197492163
9620,OneHotEncoder,False,gini,NoneType,0.1,2,5,128,45,0.9626959247648902
9621,OneHotEncoder,False,gini,NoneType,0.45,2,20,512,45,0.9548589341692789
9622,NoneType,False,gini,8,0.1,9,20,512,45,0.9548589341692789
9623,NoneType,False,entropy,NoneType,0.4,1,12,32,45,0.9532915360501567
9624,OneHotEncoder,False,entropy,9,0.35000000000000003,1,5,32,45,0.9561128526645767
9625,"['DualImputer', 'PCA']",False,entropy,10,0.05,9,8,512,41,0.9312659846547314
9626,DualImputer,True,gini,NoneType,0.3,3,20,128,41,0.9371057118499573
9627,DualImputer,True,entropy,11,0.05,1,16,8,41,0.8947357203751066
9628,DualImputer,True,gini,10,0.45,1,9,8,41,0.9444586530264278
9629,"['DualImputer', 'OneHotEncoder']",False,entropy,11,0.3,8,17,8,41,0.9181159420289855
9630,"['DualImputer', 'PCA']",True,gini,9,0.05,8,11,256,41,0.9093989769820972
9631,"['DualImputer', 'PCA']",False,gini,10,0.05,8,7,128,41,0.9225277067348678
9632,"['DualImputer', 'PCA']",False,entropy,12,0.4,8,5,8,41,0.9166453537936914
9633,DualImputer,True,gini,9,0.1,4,4,512,41,0.9341858482523444
9634,DualImputer,True,entropy,NoneType,0.05,1,18,512,41,0.9371270247229326
9635,DualImputer,False,entropy,9,0.15000000000000002,12,11,256,41,0.9209931798806478
9636,DualImputer,True,entropy,8,0.1,2,17,128,41,0.9385976129582267
9637,"['DualImputer', 'PCA']",False,gini,12,0.3,15,20,32,41,0.9136828644501278
9638,"['DualImputer', 'PCA']",False,gini,NoneType,0.05,14,18,128,41,0.9034953111679455
9639,DualImputer,False,entropy,12,0.1,3,16,512,41,0.9371483375959079
9640,DualImputer,False,entropy,9,0.35000000000000003,8,17,64,41,0.9356777493606139
9641,DualImputer,True,gini,11,0.05,1,14,16,41,0.9224424552429668
9642,DualImputer,False,entropy,NoneType,0.1,10,18,32,41,0.9122549019607844
9643,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.05,5,2,512,41,0.9225277067348678
9644,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.05,9,19,8,41,0.8214407502131287
9645,DualImputer,True,gini,12,0.15000000000000002,6,13,32,41,0.9238917306052855
9646,"['DualImputer', 'PCA']",False,gini,NoneType,0.4,6,20,64,41,0.9297527706734867
9647,"['DualImputer', 'OneHotEncoder']",True,gini,9,0.05,6,2,32,41,0.8843563512361466
9648,DualImputer,True,entropy,NoneType,0.05,3,16,64,41,0.8990835464620632
9649,"['DualImputer', 'PCA']",True,gini,12,0.05,9,13,256,41,0.9108908780903666
9650,DualImputer,False,gini,NoneType,0.2,8,4,256,41,0.9312446717817562
9651,DualImputer,False,gini,12,0.1,6,2,64,41,0.9356564364876384
9652,"['DualImputer', 'PCA']",False,gini,9,0.05,8,14,64,41,0.9151960784313724
9653,"['DualImputer', 'PCA']",False,entropy,9,0.05,8,14,512,41,0.9268968456947995
9654,DualImputer,True,entropy,11,0.1,1,3,8,41,0.9414961636828645
9655,DualImputer,False,gini,8,0.35000000000000003,5,18,64,41,0.9385763000852514
9656,DualImputer,False,entropy,8,0.45,3,20,256,41,0.9283461210571184
9657,DualImputer,True,gini,NoneType,0.05,6,6,256,41,0.8595694799658993
9658,DualImputer,True,gini,9,0.1,5,15,8,41,0.8726982097186701
9659,"['DualImputer', 'PCA']",False,gini,11,0.05,14,20,32,41,0.8610613810741687
9660,DualImputer,True,gini,NoneType,0.15000000000000002,6,4,64,41,0.9282608695652173
9661,"['DualImputer', 'PCA']",False,gini,12,0.05,6,11,512,41,0.9356777493606139
9662,DualImputer,True,entropy,10,0.4,1,16,64,41,0.934164535379369
9663,DualImputer,False,entropy,NoneType,0.2,10,6,128,41,0.9312446717817562
9664,"['DualImputer', 'PCA']",False,gini,NoneType,0.05,14,14,128,41,0.9034953111679455
9665,DualImputer,False,entropy,9,0.25,8,4,16,41,0.9297953964194372
9666,DualImputer,False,entropy,10,0.4,10,16,16,41,0.9209931798806478
9667,DualImputer,False,entropy,11,0.15000000000000002,12,16,128,41,0.921014492753623
9668,"['DualImputer', 'PCA']",False,gini,NoneType,0.05,1,11,32,41,0.9167092924126173
9669,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.1,6,11,64,41,0.909313725490196
9670,DualImputer,False,gini,12,0.15000000000000002,3,17,128,41,0.9430093776641091
9671,DualImputer,True,gini,10,0.2,1,4,8,41,0.9414748508098892
9672,"['DualImputer', 'PCA']",True,gini,NoneType,0.05,5,7,512,41,0.9342071611253197
9673,DualImputer,True,entropy,NoneType,0.25,4,16,8,41,0.9107630008525149
9674,DualImputer,False,gini,11,0.45,8,19,8,41,0.928303495311168
9675,"['DualImputer', 'PCA']",False,gini,10,0.05,7,18,512,41,0.9283461210571184
9676,"['DualImputer', 'OneHotEncoder']",False,entropy,11,0.25,6,20,8,41,0.9239343563512362
9677,"['DualImputer', 'PCA']",False,entropy,8,0.2,8,3,512,41,0.9298167092924124
9678,DualImputer,False,entropy,10,0.05,2,19,128,41,0.9269394714407502
9679,DualImputer,True,gini,10,0.35000000000000003,4,5,512,41,0.9400682011935209
9680,"['DualImputer', 'OneHotEncoder']",False,entropy,12,0.15000000000000002,9,19,16,41,0.8991261722080137
9681,NoneType,False,entropy,11,0.45,20,6,512,32,0.9831705682852181
9682,PCA,False,entropy,10,0.45,1,20,8,32,0.9818053602448507
9683,NoneType,False,entropy,10,0.45,10,18,8,32,0.9808956902969642
9684,PCA,False,entropy,NoneType,0.05,2,3,8,32,0.974345024402349
9685,NoneType,False,gini,11,0.45,2,2,64,32,0.9879009843659526
9686,NoneType,False,gini,NoneType,0.4,3,3,16,32,0.9892656960873522
9687,NoneType,False,gini,NoneType,0.3,1,20,16,32,0.9878099098353875
9688,PCA,False,entropy,11,0.25,20,20,64,32,0.9788937877409214
9689,PCA,True,entropy,8,0.45,20,17,512,32,0.9649746050128215
9690,PCA,False,entropy,NoneType,0.15000000000000002,1,19,64,32,0.9884468525105469
9691,PCA,True,gini,12,0.05,4,2,16,32,0.9722527090743652
9692,NoneType,False,gini,11,0.45,1,17,32,32,0.9869910662585821
9693,NoneType,False,entropy,8,0.45,19,2,32,32,0.9754381669286127
9694,PCA,False,gini,12,0.15000000000000002,20,20,512,32,0.9814418066010424
9695,NoneType,False,gini,10,0.3,4,20,512,32,0.9855361899247251
9696,PCA,True,entropy,11,0.25,1,3,64,32,0.988628670692365
9697,NoneType,True,entropy,8,0.4,2,20,256,32,0.980259905699396
9698,PCA,True,entropy,8,0.05,1,19,8,32,0.9305850773430393
9699,PCA,True,entropy,9,0.05,20,8,64,32,0.964247084126065
9700,NoneType,False,entropy,NoneType,0.4,2,2,8,32,0.9879922243361733
9701,NoneType,True,entropy,NoneType,0.3,1,2,512,32,0.9915399123169826
9702,NoneType,False,entropy,10,0.3,2,2,32,32,0.9874460253122674
9703,PCA,False,entropy,11,0.25,1,20,512,32,0.988628587972537
9704,PCA,False,entropy,10,0.45,5,2,16,32,0.9826239556621722
9705,PCA,False,gini,11,0.35000000000000003,1,16,64,32,0.9865363553643809
9706,PCA,False,gini,12,0.3,1,12,8,32,0.9799854413102821
9707,NoneType,True,entropy,11,0.3,1,19,8,32,0.9809871784266688
9708,NoneType,True,entropy,10,0.45,1,14,512,32,0.9887197452229299
9709,NoneType,False,gini,NoneType,0.4,1,5,512,32,0.9919947059310117
9710,NoneType,False,entropy,NoneType,0.45,20,20,8,32,0.9763475059971876
9711,PCA,True,entropy,NoneType,0.45,20,2,64,32,0.9680673339399455
9712,NoneType,False,entropy,10,0.05,12,20,512,32,0.9768028786500123
9713,NoneType,False,entropy,9,0.25,1,9,128,32,0.9855358590454131
9714,PCA,False,gini,10,0.05,5,3,512,32,0.9802589957812888
9715,PCA,True,gini,9,0.45,3,2,512,32,0.9748913061460833
9716,NoneType,True,gini,NoneType,0.1,5,17,256,32,0.9817153610720488
9717,NoneType,False,gini,NoneType,0.05,19,6,64,32,0.9748013069732815
9718,PCA,False,entropy,10,0.05,20,2,512,32,0.9758010588137976
9719,PCA,True,entropy,8,0.25,7,2,128,32,0.9746178343949046
9720,NoneType,False,gini,NoneType,0.1,20,20,16,32,0.968342460087683
9721,PCA,False,gini,10,0.45,12,20,32,32,0.9756190751923237
9722,NoneType,True,entropy,10,0.45,5,9,64,32,0.9869002398875011
9723,PCA,False,entropy,8,0.05,2,19,512,32,0.9734359334932584
9724,PCA,False,gini,NoneType,0.25,2,12,512,32,0.990630242369096
9725,NoneType,False,gini,NoneType,0.45,20,3,16,32,0.9766204814293985
9726,PCA,False,gini,NoneType,0.05,3,3,128,32,0.9898116469517744
9727,PCA,False,entropy,12,0.3,1,2,512,32,0.9912669368847714
9728,NoneType,True,gini,NoneType,0.3,2,20,512,32,0.9880831334270825
9729,PCA,True,gini,NoneType,0.35000000000000003,3,4,512,32,0.9884467697907189
9730,PCA,False,entropy,9,0.45,18,2,8,32,0.966430391264786
9731,NoneType,False,entropy,8,0.35000000000000003,20,12,512,32,0.9771670113326165
9732,"['DualImputer', 'OneHotEncoder']",False,entropy,8,0.35000000000000003,1,8,512,41,0.9342710997442454
9733,NoneType,False,entropy,NoneType,0.05,4,20,64,32,0.9848989163702541
9734,DualImputer,False,gini,12,0.2,6,12,256,41,0.9371057118499573
9735,NoneType,False,entropy,10,0.25,6,2,512,32,0.9867183389858549
9736,DualImputer,False,entropy,11,0.05,8,6,32,41,0.8405797101449275
9737,NoneType,False,entropy,10,0.2,18,10,64,32,0.9806234593432045
9738,PCA,False,gini,11,0.05,1,2,64,32,0.984625692778559
9739,NoneType,False,gini,NoneType,0.05,1,14,8,32,0.9819871784266688
9740,DualImputer,True,entropy,NoneType,0.05,15,9,32,41,0.6457374254049445
9741,DualImputer,False,gini,12,0.15000000000000002,4,9,512,41,0.9429667519181585
9742,"['DualImputer', 'PCA']",False,gini,12,0.4,17,8,512,41,0.8917306052855924
9743,"['DualImputer', 'PCA']",False,entropy,10,0.15000000000000002,16,12,512,41,0.9180946291560103
9744,"['DualImputer', 'PCA']",True,gini,10,0.3,6,12,8,41,0.8960358056265983
9745,"['DualImputer', 'PCA']",False,gini,8,0.2,18,12,64,41,0.9049445865302642
9746,"['DualImputer', 'OneHotEncoder']",False,entropy,11,0.4,7,15,8,41,0.9225277067348678
9747,DualImputer,True,entropy,12,0.3,6,10,32,41,0.9254262574595055
9748,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.1,3,13,64,41,0.9415387894288149
9749,DualImputer,True,entropy,11,0.3,3,8,256,41,0.941538789428815
9750,DualImputer,True,entropy,10,0.15000000000000002,18,2,512,41,0.8009803921568628
9751,DualImputer,False,entropy,NoneType,0.4,8,6,512,41,0.9312233589087808
9752,"['DualImputer', 'OneHotEncoder']",True,gini,11,0.25,1,20,128,41,0.9341858482523444
9753,DualImputer,True,entropy,11,0.3,20,18,256,41,0.790686274509804
9754,"['DualImputer', 'PCA']",False,entropy,8,0.35000000000000003,8,5,8,41,0.9195225916453538
9755,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.4,7,10,128,41,0.922463768115942
9756,"['DualImputer', 'OneHotEncoder']",True,entropy,11,0.4,3,18,128,41,0.9269607843137255
9757,"['DualImputer', 'PCA']",True,gini,NoneType,0.2,1,2,128,41,0.9371696504688831
9758,"['DualImputer', 'PCA']",True,entropy,12,0.15000000000000002,18,19,8,41,0.7630434782608695
9759,DualImputer,False,entropy,8,0.25,2,7,512,41,0.9430306905370843
9760,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.25,4,17,512,41,0.9268542199488492
9761,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.25,19,12,8,41,0.8712702472293266
9762,"['DualImputer', 'PCA']",True,gini,11,0.25,13,3,128,41,0.9020460358056267
9763,"['DualImputer', 'OneHotEncoder']",True,entropy,11,0.3,18,10,256,41,0.837617220801364
9764,"['DualImputer', 'OneHotEncoder']",False,entropy,12,0.05,1,15,8,41,0.9254688832054562
9765,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.3,4,19,256,41,0.918073316283035
9766,"['DualImputer', 'OneHotEncoder']",False,entropy,9,0.15000000000000002,16,14,32,41,0.8799658994032397
9767,"['DualImputer', 'PCA']",True,entropy,9,0.35000000000000003,20,17,128,41,0.8552003410059676
9768,"['DualImputer', 'OneHotEncoder']",True,entropy,12,0.4,4,10,8,41,0.9138320545609547
9769,"['DualImputer', 'OneHotEncoder']",False,entropy,9,0.25,19,4,8,41,0.8712702472293266
9770,DualImputer,False,gini,12,0.2,15,13,128,41,0.9107203751065643
9771,DualImputer,True,gini,12,0.15000000000000002,8,8,512,41,0.912233589087809
9772,"['DualImputer', 'PCA']",False,gini,9,0.2,12,10,128,41,0.9312659846547314
9773,"['DualImputer', 'OneHotEncoder']",True,entropy,10,0.05,12,5,64,41,0.8404731457800512
9774,DualImputer,False,gini,NoneType,0.05,6,7,32,41,0.8830349531116795
9775,"['DualImputer', 'PCA']",True,gini,10,0.2,11,4,128,41,0.9210144927536232
9776,"['DualImputer', 'OneHotEncoder']",False,entropy,8,0.2,17,15,256,41,0.8844416027280477
9777,DualImputer,True,gini,8,0.4,20,17,256,41,0.7833972719522591
9778,DualImputer,False,entropy,9,0.35000000000000003,18,3,16,41,0.8888320545609549
9779,DualImputer,False,entropy,NoneType,0.2,8,20,512,41,0.9356564364876384
9780,"['DualImputer', 'PCA']",False,entropy,9,0.4,14,15,128,41,0.9166453537936914
9781,DualImputer,True,entropy,9,0.45,12,9,16,41,0.8858269394714406
9782,DualImputer,False,entropy,8,0.15000000000000002,17,4,64,41,0.8800298380221655
9783,"['DualImputer', 'OneHotEncoder']",False,gini,9,0.1,20,9,8,41,0.8346760443307758
9784,"['DualImputer', 'OneHotEncoder']",True,entropy,11,0.1,2,6,32,41,0.9342924126172208
9785,"['DualImputer', 'PCA']",True,entropy,NoneType,0.35000000000000003,12,17,512,41,0.9151960784313724
9786,DualImputer,True,entropy,8,0.35000000000000003,1,7,8,41,0.9356990622335889
9787,"['DualImputer', 'PCA']",False,entropy,12,0.2,20,7,256,41,0.907843137254902
9788,OneHotEncoder,False,entropy,9,0.2,19,3,8,45,0.9489028213166144
9789,"['DualImputer', 'PCA']",True,gini,12,0.2,8,18,32,41,0.9092924126172207
9790,OneHotEncoder,False,gini,NoneType,0.25,3,6,16,45,0.9601880877742947
9791,"['DualImputer', 'OneHotEncoder']",False,gini,11,0.05,19,19,8,41,0.7291986359761295
9792,OneHotEncoder,True,entropy,8,0.3,1,5,512,45,0.9573667711598745
9793,PCA,False,entropy,9,0.35000000000000003,20,2,8,45,0.8730407523510972
9794,NoneType,False,entropy,10,0.05,19,20,256,45,0.9382445141065832
9795,"['DualImputer', 'PCA']",True,gini,12,0.1,10,7,16,41,0.88154305200341
9796,NoneType,False,gini,8,0.4,19,20,512,45,0.9498432601880877
9797,NoneType,True,entropy,11,0.25,1,3,16,45,0.9495297805642633
9798,PCA,True,gini,11,0.15000000000000002,18,19,8,45,0.8485893416927901
9799,OneHotEncoder,True,entropy,8,0.35000000000000003,3,20,8,45,0.9495297805642633
9800,OneHotEncoder,False,gini,8,0.35000000000000003,11,2,512,45,0.9557993730407522
9801,NoneType,False,gini,NoneType,0.3,7,20,8,45,0.9514106583072099
9802,OneHotEncoder,False,entropy,NoneType,0.3,1,10,8,45,0.95705329153605
9803,OneHotEncoder,True,gini,8,0.3,9,20,512,45,0.9573667711598745
9804,NoneType,True,gini,NoneType,0.4,20,20,256,45,0.9473354231974922
9805,"['DualImputer', 'PCA']",True,gini,10,0.35000000000000003,8,19,16,41,0.9049872122762148
9806,NoneType,False,entropy,NoneType,0.2,3,7,512,45,0.958307210031348
9807,NoneType,True,gini,9,0.3,20,18,128,45,0.9448275862068967
9808,OneHotEncoder,False,gini,9,0.15000000000000002,18,20,32,45,0.95423197492163
9809,OneHotEncoder,True,gini,8,0.05,20,7,64,45,0.9507836990595611
9810,NoneType,True,gini,9,0.4,1,19,8,45,0.9442006269592476
9811,PCA,False,gini,11,0.4,14,20,8,45,0.8742946708463949
9812,OneHotEncoder,False,gini,9,0.05,2,3,512,45,0.9683385579937305
9813,NoneType,False,gini,8,0.4,20,2,256,45,0.9482758620689655
9814,NoneType,False,entropy,8,0.45,4,6,512,45,0.9526645768025078
9815,OneHotEncoder,False,gini,8,0.35000000000000003,20,13,512,45,0.9529780564263323
9816,OneHotEncoder,True,entropy,8,0.15000000000000002,17,2,512,45,0.9579937304075236
9817,OneHotEncoder,False,entropy,NoneType,0.25,5,20,512,45,0.9592476489028213
9818,OneHotEncoder,False,gini,NoneType,0.25,1,6,128,45,0.9608150470219435
9819,NoneType,True,entropy,8,0.2,19,9,256,45,0.9507836990595611
9820,OneHotEncoder,True,gini,NoneType,0.1,2,20,512,45,0.9623824451410657
9821,NoneType,False,gini,NoneType,0.25,4,12,512,45,0.9548589341692789
9822,NoneType,True,entropy,9,0.35000000000000003,1,2,64,45,0.9529780564263323
9823,NoneType,False,gini,NoneType,0.15000000000000002,20,9,32,45,0.94858934169279
9824,NoneType,True,entropy,NoneType,0.3,1,2,64,45,0.9551724137931034
9825,OneHotEncoder,False,gini,NoneType,0.35000000000000003,19,20,128,45,0.9551724137931034
9826,OneHotEncoder,False,entropy,10,0.45,1,10,32,45,0.9586206896551722
9827,OneHotEncoder,False,entropy,9,0.1,19,20,512,45,0.9576802507836991
9828,OneHotEncoder,True,entropy,8,0.2,19,7,64,45,0.9554858934169278
9829,OneHotEncoder,True,entropy,8,0.1,1,20,256,45,0.9586206896551722
9830,PCA,False,entropy,NoneType,0.25,20,20,512,45,0.886206896551724
9831,NoneType,True,entropy,NoneType,0.15000000000000002,1,10,128,45,0.9573667711598745
9832,NoneType,True,entropy,8,0.45,1,3,512,45,0.9507836990595612
9833,DualImputer,True,gini,10,0.1,4,6,512,41,0.9356351236146633
9834,OneHotEncoder,True,entropy,8,0.3,20,19,32,45,0.9557993730407522
9835,DualImputer,True,gini,8,0.35000000000000003,2,19,8,41,0.9327152600170502
9836,DualImputer,False,gini,12,0.2,6,17,512,41,0.9385763000852514
9837,DualImputer,True,gini,11,0.2,5,17,128,41,0.9298167092924124
9838,"['DualImputer', 'PCA']",False,entropy,NoneType,0.05,7,11,16,41,0.8669437340153452
9839,"['DualImputer', 'PCA']",False,gini,10,0.05,8,3,128,41,0.9225277067348678
9840,DualImputer,False,entropy,NoneType,0.1,11,13,128,41,0.899083546462063
9841,"['DualImputer', 'PCA']",False,entropy,9,0.05,8,13,32,41,0.9065217391304348
9842,DualImputer,False,entropy,12,0.45,3,2,128,41,0.9430093776641091
9843,DualImputer,False,gini,9,0.2,7,6,8,41,0.9327152600170502
9844,"['DualImputer', 'PCA']",False,entropy,9,0.1,17,7,512,41,0.9210144927536232
9845,"['DualImputer', 'PCA']",False,gini,12,0.05,7,3,256,41,0.9356564364876384
9846,"['DualImputer', 'OneHotEncoder']",False,entropy,12,0.05,9,15,64,41,0.8946504688832055
9847,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.25,8,3,16,41,0.9035166240409206
9848,"['DualImputer', 'PCA']",True,entropy,8,0.05,5,13,8,41,0.7893009377664109
9849,"['DualImputer', 'PCA']",True,entropy,NoneType,0.05,5,18,256,41,0.9210571184995737
9850,"['DualImputer', 'PCA']",False,gini,11,0.25,1,4,8,41,0.919543904518329
9851,"['DualImputer', 'PCA']",False,entropy,12,0.05,7,2,128,41,0.9298380221653877
9852,"['DualImputer', 'PCA']",True,gini,8,0.05,6,4,32,41,0.8830136402387042
9853,DualImputer,False,gini,10,0.1,7,19,8,41,0.8961423699914748
9854,DualImputer,True,entropy,10,0.15000000000000002,10,2,64,41,0.8902387041773231
9855,DualImputer,True,entropy,12,0.15000000000000002,5,15,512,41,0.9356777493606137
9856,DualImputer,True,gini,9,0.25,3,7,32,41,0.9415601023017903
9857,DualImputer,True,gini,NoneType,0.1,1,10,512,41,0.9459079283887467
9858,"['DualImputer', 'PCA']",True,entropy,8,0.05,5,7,16,41,0.8549872122762148
