,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,score
89,NoneType,True,gini,11,0.05,19,3,32,14,0.7785000000000001
90,NoneType,False,gini,12,0.45,20,10,32,14,0.808
91,NoneType,False,gini,NoneType,0.2,1,2,256,14,0.8535
92,NoneType,False,entropy,12,0.2,20,4,64,14,0.8205
93,PCA,False,gini,11,0.25,19,3,64,14,0.8174999999999999
94,PCA,True,gini,NoneType,0.45,11,16,32,14,0.8155000000000001
95,NoneType,True,entropy,10,0.05,1,2,128,14,0.8230000000000001
96,NoneType,True,entropy,8,0.25,13,19,512,14,0.8220000000000001
97,NoneType,False,gini,NoneType,0.15000000000000002,6,2,256,14,0.834
98,NoneType,False,entropy,10,0.25,1,16,512,14,0.8465
99,NoneType,False,entropy,8,0.3,1,16,256,14,0.8425
100,PCA,False,gini,9,0.3,20,18,512,14,0.8145
101,NoneType,False,entropy,12,0.15000000000000002,4,7,512,14,0.843
102,PCA,False,entropy,11,0.2,9,5,256,14,0.8219999999999998
103,NoneType,False,entropy,11,0.45,8,19,16,14,0.8205
104,NoneType,False,entropy,NoneType,0.45,15,2,8,14,0.8030000000000002
105,PCA,True,entropy,11,0.45,1,4,256,14,0.8299999999999998
106,PCA,True,gini,12,0.2,1,7,512,14,0.8365
107,PCA,True,gini,NoneType,0.35000000000000003,4,17,512,14,0.8219999999999998
108,NoneType,False,entropy,12,0.4,1,6,128,14,0.8465
109,NoneType,False,entropy,NoneType,0.2,1,2,256,14,0.8474999999999999
110,PCA,False,entropy,8,0.2,6,2,512,14,0.8205
111,NoneType,False,entropy,9,0.15000000000000002,2,19,512,14,0.835
112,PCA,True,entropy,NoneType,0.2,1,7,512,14,0.835
113,PCA,True,entropy,10,0.05,2,19,512,14,0.8140000000000001
114,PCA,False,entropy,10,0.45,1,13,512,14,0.8240000000000001
115,PCA,False,entropy,11,0.2,3,2,8,14,0.8045
116,PCA,True,gini,11,0.2,1,20,512,14,0.8255000000000001
117,NoneType,True,entropy,NoneType,0.05,19,19,512,14,0.8015000000000001
