,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
1781,dart,0.3,3,50,32,0.011877775192260742,-0.020790527965580872
1784,dart,0.3,3,50,256,0.01072087287902832,-0.020790527965580872
1092,gbdt,0.5,6,10,4,0.0041438817977905275,-0.020764048322617582
1232,gbdt,0.5,-1,10,4,0.0019152164459228516,-0.020764048322617582
1148,gbdt,0.5,8,10,4,0.003034830093383789,-0.020764048322617582
1204,gbdt,0.5,10,10,4,0.00203852653503418,-0.020764048322617582
1120,gbdt,0.5,7,10,4,0.0019443035125732422,-0.020764048322617582
1176,gbdt,0.5,9,10,4,0.0027406930923461912,-0.020764048322617582
1036,gbdt,0.5,4,10,4,0.0019589900970458985,-0.020764048322617582
1064,gbdt,0.5,5,10,4,0.0019647359848022463,-0.020764048322617582
1008,gbdt,0.5,3,10,4,0.0020266294479370115,-0.020764048322617582
2352,dart,0.5,6,10,4,0.0019440650939941406,-0.020738771071274826
2492,dart,0.5,-1,10,4,0.0019001007080078126,-0.020738771071274826
2464,dart,0.5,10,10,4,0.0019417285919189453,-0.020738771071274826
2436,dart,0.5,9,10,4,0.002415323257446289,-0.020738771071274826
2408,dart,0.5,8,10,4,0.001976943016052246,-0.020738771071274826
2380,dart,0.5,7,10,4,0.003000497817993164,-0.020738771071274826
2296,dart,0.5,4,10,4,0.0042650699615478516,-0.020738771071274826
2268,dart,0.5,3,10,4,0.0019928455352783204,-0.020738771071274826
2324,dart,0.5,5,10,4,0.0026306390762329103,-0.020738771071274826
1476,dart,0.1,10,50,256,0.09197444915771484,-0.020687662000812894
1503,dart,0.1,-1,50,128,0.07954909801483154,-0.02067763734270229
1504,dart,0.1,-1,50,256,0.1065068006515503,-0.020675683239303702
1475,dart,0.1,10,50,128,0.08265745639801025,-0.02066215980086348
2310,dart,0.5,4,50,4,0.007398676872253418,-0.020658131487834262
2506,dart,0.5,-1,50,4,0.005045509338378907,-0.020658131487834262
2282,dart,0.5,3,50,4,0.010555529594421386,-0.020658131487834262
2478,dart,0.5,10,50,4,0.008938145637512208,-0.020658131487834262
2450,dart,0.5,9,50,4,0.005123305320739746,-0.020658131487834262
2422,dart,0.5,8,50,4,0.0085984468460083,-0.020658131487834262
2366,dart,0.5,6,50,4,0.005299878120422363,-0.020658131487834262
2338,dart,0.5,5,50,4,0.0056955814361572266,-0.020658131487834262
2394,dart,0.5,7,50,4,0.006095719337463379,-0.020658131487834262
1360,dart,0.1,6,50,16,0.017949795722961424,-0.020653399282134683
1472,dart,0.1,10,50,16,0.016760087013244628,-0.020653004129485716
1416,dart,0.1,8,50,16,0.016810131072998048,-0.020653004129485716
1388,dart,0.1,7,50,16,0.016694164276123045,-0.020653004129485716
1444,dart,0.1,9,50,16,0.017817044258117677,-0.020653004129485716
1500,dart,0.1,-1,50,16,0.01744875907897949,-0.020653004129485716
1420,dart,0.1,8,50,256,0.06794757843017578,-0.02062611978736507
1419,dart,0.1,8,50,128,0.06484203338623047,-0.02062611978736507
1448,dart,0.1,9,50,256,0.079890775680542,-0.020620961220978225
1447,dart,0.1,9,50,128,0.07408912181854248,-0.02061595199970846
1332,dart,0.1,5,50,16,0.015853738784790038,-0.020607445853353865
1446,dart,0.1,9,50,64,0.04799308776855469,-0.02060331231549039
1474,dart,0.1,10,50,64,0.04830803871154785,-0.020596289587520664
1502,dart,0.1,-1,50,64,0.048419857025146486,-0.020595579031175565
1418,dart,0.1,8,50,64,0.04765634536743164,-0.020594512322868228
1390,dart,0.1,7,50,64,0.04206657409667969,-0.020590488454952323
252,gbdt,0.2,3,10,4,0.0034308433532714844,-0.020590261905317448
420,gbdt,0.2,9,10,4,0.0018963098526000976,-0.020590261905317448
448,gbdt,0.2,10,10,4,0.00207979679107666,-0.020590261905317448
280,gbdt,0.2,4,10,4,0.0027342796325683593,-0.020590261905317448
364,gbdt,0.2,7,10,4,0.0027668237686157226,-0.020590261905317448
392,gbdt,0.2,8,10,4,0.0031296253204345704,-0.020590261905317448
476,gbdt,0.2,-1,10,4,0.0019521474838256835,-0.020590261905317448
336,gbdt,0.2,6,10,4,0.0033466100692749025,-0.020590261905317448
