,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
1346,dart,0.1,6,10,16,0.00396432876586914,-0.36489615629518396
4,gbdt,0.1,3,10,64,0.002120208740234375,-0.34758605099168854
3,gbdt,0.1,3,10,32,0.0021586179733276366,-0.34758605099168854
2,gbdt,0.1,3,10,16,0.002060127258300781,-0.34758605099168854
6,gbdt,0.1,3,10,256,0.003582882881164551,-0.34758605099168854
1,gbdt,0.1,3,10,8,0.002049875259399414,-0.34758605099168854
5,gbdt,0.1,3,10,128,0.0022408246994018556,-0.34758605099168854
29,gbdt,0.1,4,10,8,0.0024839162826538084,-0.34131852115871186
225,gbdt,0.1,-1,10,8,0.002322554588317871,-0.34061113231340634
113,gbdt,0.1,7,10,8,0.0033112525939941405,-0.34061113231340634
169,gbdt,0.1,9,10,8,0.005064082145690918,-0.34061113231340634
57,gbdt,0.1,5,10,8,0.0033790111541748048,-0.34061113231340634
85,gbdt,0.1,6,10,8,0.002337527275085449,-0.34061113231340634
197,gbdt,0.1,10,10,8,0.002312898635864258,-0.34061113231340634
141,gbdt,0.1,8,10,8,0.0029024124145507813,-0.34061113231340634
1490,dart,0.1,-1,10,256,0.030718517303466798,-0.34051475857915
1462,dart,0.1,10,10,256,0.041074275970458984,-0.340466835607199
1461,dart,0.1,10,10,128,0.03284320831298828,-0.34005803673276863
1489,dart,0.1,-1,10,128,0.02451174259185791,-0.34000432039415696
1322,dart,0.1,5,10,256,0.01591324806213379,-0.3397859332523304
1321,dart,0.1,5,10,128,0.01815338134765625,-0.3397859332523304
1320,dart,0.1,5,10,64,0.012574529647827149,-0.3397859332523304
1319,dart,0.1,5,10,32,0.007877993583679199,-0.3397859332523304
1434,dart,0.1,9,10,256,0.03093864917755127,-0.3385110046113963
1433,dart,0.1,9,10,128,0.01977870464324951,-0.33826146782951366
1488,dart,0.1,-1,10,64,0.012051868438720702,-0.3372494789155071
1375,dart,0.1,7,10,32,0.004945588111877441,-0.3362721886162305
1431,dart,0.1,9,10,32,0.007464981079101563,-0.33590867503663896
1487,dart,0.1,-1,10,32,0.011023759841918945,-0.33590867503663896
1459,dart,0.1,10,10,32,0.007359075546264649,-0.33590867503663896
1403,dart,0.1,8,10,32,0.008042478561401367,-0.33590867503663896
1432,dart,0.1,9,10,64,0.012666273117065429,-0.335316352848045
1460,dart,0.1,10,10,64,0.024358749389648438,-0.3348409857770487
1404,dart,0.1,8,10,64,0.011522197723388672,-0.33463292065941325
1347,dart,0.1,6,10,32,0.005091190338134766,-0.3340001943248058
1376,dart,0.1,7,10,64,0.009653520584106446,-0.3339225096731591
1377,dart,0.1,7,10,128,0.010410761833190918,-0.33382506840185716
1378,dart,0.1,7,10,256,0.012020182609558106,-0.33382506840185716
1406,dart,0.1,8,10,256,0.02441585063934326,-0.33242935173594523
1405,dart,0.1,8,10,128,0.018812680244445802,-0.33236119972074507
1348,dart,0.1,6,10,64,0.007905387878417968,-0.32916098995239473
1349,dart,0.1,6,10,128,0.008161377906799317,-0.32916098995239473
1350,dart,0.1,6,10,256,0.01419985294342041,-0.32916098995239473
30,gbdt,0.1,4,10,16,0.0028441667556762694,-0.3032921263767399
31,gbdt,0.1,4,10,32,0.003100085258483887,-0.3032921263767399
32,gbdt,0.1,4,10,64,0.004012680053710938,-0.3032921263767399
34,gbdt,0.1,4,10,256,0.003665328025817871,-0.3032921263767399
33,gbdt,0.1,4,10,128,0.005717182159423828,-0.3032921263767399
226,gbdt,0.1,-1,10,16,0.003468823432922363,-0.30223282757499276
114,gbdt,0.1,7,10,16,0.004474759101867676,-0.30223282757499276
142,gbdt,0.1,8,10,16,0.003151202201843262,-0.30223282757499276
170,gbdt,0.1,9,10,16,0.0075996160507202145,-0.30223282757499276
198,gbdt,0.1,10,10,16,0.00337827205657959,-0.30223282757499276
86,gbdt,0.1,6,10,16,0.0031459808349609377,-0.3019717788988315
58,gbdt,0.1,5,10,16,0.004098939895629883,-0.2998840276887251
230,gbdt,0.1,-1,10,256,0.022345209121704103,-0.2889314962487476
202,gbdt,0.1,10,10,256,0.02123270034790039,-0.2888432132523108
201,gbdt,0.1,10,10,128,0.014938282966613769,-0.28840242158573387
229,gbdt,0.1,-1,10,128,0.014950919151306152,-0.28828950379425317
174,gbdt,0.1,9,10,256,0.02495274543762207,-0.28639035295419957
173,gbdt,0.1,9,10,128,0.025954818725585936,-0.28609138020851965
146,gbdt,0.1,8,10,256,0.016927480697631836,-0.27999881580558456
59,gbdt,0.1,5,10,32,0.004018592834472656,-0.2798025985924378
60,gbdt,0.1,5,10,64,0.004631757736206055,-0.2798025985924378
61,gbdt,0.1,5,10,128,0.0055027008056640625,-0.2798025985924378
