,max_depth,max_features,max_leaf_nodes,n_estimators,oob_score,fit_time,target
18,2.0,log2,16.0,25,True,0.019709157943725585,-0.02027921307091863
57,2.0,log2,,10,False,0.007710838317871093,-0.02027733489879037
17,2.0,log2,16.0,10,False,0.007817912101745605,-0.020251669660351055
1158,,log2,4.0,100,True,0.07895615100860595,-0.020215060695980603
708,7.0,sqrt,4.0,50,True,0.04014599323272705,-0.02019886824952053
6,2.0,log2,4.0,100,True,0.08040158748626709,-0.020180017049106394
184,3.0,log2,,10,True,0.008532142639160157,-0.02015145632569846
772,8.0,log2,4.0,50,True,0.040283703804016115,-0.020143931163853247
899,9.0,log2,4.0,25,False,0.019271278381347658,-0.020137803875615024
387,5.0,log2,4.0,25,False,0.018956828117370605,-0.02013580754000583
135,3.0,log2,4.0,100,False,0.07537274360656739,-0.020074390634326533
73,2.0,sqrt,8.0,10,False,0.00855114459991455,-0.020074014090275077
122,2.0,sqrt,,25,True,0.0204270601272583,-0.020071671755947124
1094,10.0,sqrt,4.0,100,True,0.07931597232818603,-0.020067924612115515
1090,10.0,sqrt,4.0,25,True,0.021460604667663575,-0.020061578580385955
5,2.0,log2,4.0,50,False,0.039266419410705564,-0.020060439107029263
1030,10.0,log2,4.0,100,True,0.0783850908279419,-0.020038732873823427
517,6.0,log2,4.0,50,False,0.03725886344909668,-0.020031189623273944
389,5.0,log2,4.0,50,False,0.03747677803039551,-0.020013355681066547
454,5.0,sqrt,4.0,100,True,0.08110370635986328,-0.020006042307109954
113,2.0,sqrt,256.0,10,False,0.0074623823165893555,-0.020005125507838912
98,2.0,sqrt,64.0,25,True,0.020804500579833983,-0.019983237238339193
580,6.0,sqrt,4.0,50,True,0.04151914119720459,-0.019944030126140447
35,2.0,log2,64.0,25,False,0.01850144863128662,-0.01994287769249382
582,6.0,sqrt,4.0,100,True,0.07833473682403565,-0.01993355110634286
770,8.0,log2,4.0,25,True,0.02024836540222168,-0.019905105824767858
369,4.0,sqrt,256.0,10,False,0.007785677909851074,-0.019899407250449128
260,4.0,log2,4.0,50,True,0.04109499454498291,-0.019894398922909697
576,6.0,sqrt,4.0,10,True,0.00852794647216797,-0.01988157243963316
199,3.0,sqrt,4.0,100,False,0.07322459220886231,-0.019862188721375955
114,2.0,sqrt,256.0,25,True,0.020572590827941894,-0.019857571339845753
70,2.0,sqrt,4.0,100,True,0.07820346355438232,-0.019852553876522086
768,8.0,log2,4.0,10,True,0.008094692230224609,-0.019852114752729633
388,5.0,log2,4.0,50,True,0.0418168306350708,-0.01984663416064603
106,2.0,sqrt,128.0,25,True,0.02249138355255127,-0.019844484263951325
261,4.0,log2,4.0,50,False,0.03818023204803467,-0.01983793714267325
250,3.0,sqrt,,25,True,0.020736265182495116,-0.019820866492324767
1093,10.0,sqrt,4.0,50,False,0.037460708618164064,-0.019809906281458758
93,2.0,sqrt,32.0,50,False,0.038168907165527344,-0.019808738832839345
1216,,sqrt,4.0,10,True,0.008265018463134766,-0.019794037291490978
43,2.0,log2,128.0,25,False,0.019239115715026855,-0.019790514350452475
69,2.0,sqrt,4.0,50,False,0.03738129138946533,-0.019788949870511066
29,2.0,log2,32.0,50,False,0.03646540641784668,-0.019782359230729386
7,2.0,log2,4.0,100,False,0.07425918579101562,-0.019779597196330358
233,3.0,sqrt,128.0,10,False,0.007567596435546875,-0.01977957154907051
160,3.0,log2,64.0,10,True,0.008756923675537109,-0.019772256947180447
386,5.0,log2,4.0,25,True,0.021043729782104493,-0.019767096844290274
190,3.0,log2,,100,True,0.082358980178833,-0.019767009413465805
66,2.0,sqrt,4.0,25,True,0.02017791271209717,-0.019759402069096228
320,4.0,sqrt,4.0,10,True,0.008974289894104004,-0.019755404306847517
67,2.0,sqrt,4.0,25,False,0.018973469734191895,-0.019751323625172353
133,3.0,log2,4.0,50,False,0.038823628425598146,-0.019746880766096108
640,7.0,log2,4.0,10,True,0.008587074279785157,-0.019745085406937146
646,7.0,log2,4.0,100,True,0.07876045703887939,-0.019744118506487784
129,3.0,log2,4.0,10,False,0.008131599426269532,-0.019729694633994252
577,6.0,sqrt,4.0,10,False,0.007429146766662597,-0.019726206276088835
52,2.0,log2,256.0,50,True,0.0410801887512207,-0.019725130114920424
47,2.0,log2,128.0,100,False,0.07325310707092285,-0.019717000476543033
