,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
144,gbdt,0.1,8,10,64,0.01662452220916748,-0.20918111411593124
200,gbdt,0.1,10,10,64,0.016019773483276368,-0.2088098817390381
228,gbdt,0.1,-1,10,64,0.0169217586517334,-0.2088098817390381
172,gbdt,0.1,9,10,64,0.016174578666687013,-0.20877860650437216
116,gbdt,0.1,7,10,64,0.021497201919555665,-0.20726969051357455
229,gbdt,0.1,-1,10,128,0.027202200889587403,-0.2010270574979691
201,gbdt,0.1,10,10,128,0.027325248718261717,-0.20076251760917055
173,gbdt,0.1,9,10,128,0.02481560707092285,-0.19970205002084465
145,gbdt,0.1,8,10,128,0.023385238647460938,-0.19926670607876046
118,gbdt,0.1,7,10,256,0.058432936668395996,-0.19904440894057668
117,gbdt,0.1,7,10,128,0.016391634941101074,-0.19904440894057668
230,gbdt,0.1,-1,10,256,0.0658956527709961,-0.19691160984813288
202,gbdt,0.1,10,10,256,0.04622211456298828,-0.19665505327063018
174,gbdt,0.1,9,10,256,0.0430164098739624,-0.19530449573259856
146,gbdt,0.1,8,10,256,0.0514946699142456,-0.1948359483249598
1498,dart,0.1,-1,50,4,0.012861275672912597,-0.18977889255790073
1274,dart,0.1,3,50,4,0.01190197467803955,-0.18977889255790073
1302,dart,0.1,4,50,4,0.013094210624694824,-0.18977889255790073
1470,dart,0.1,10,50,4,0.01421198844909668,-0.18977889255790073
1386,dart,0.1,7,50,4,0.012495827674865723,-0.18977889255790073
1358,dart,0.1,6,50,4,0.012589812278747559,-0.18977889255790073
1442,dart,0.1,9,50,4,0.013027811050415039,-0.18977889255790073
1330,dart,0.1,5,50,4,0.013637113571166991,-0.18977889255790073
1414,dart,0.1,8,50,4,0.012593245506286621,-0.18977889255790073
1513,dart,0.2,3,10,8,0.005153346061706543,-0.18369639045333552
1516,dart,0.2,3,10,64,0.0051584959030151365,-0.18369639045333552
1517,dart,0.2,3,10,128,0.006453657150268554,-0.18369639045333552
1518,dart,0.2,3,10,256,0.00719764232635498,-0.18369639045333552
1514,dart,0.2,3,10,16,0.005435800552368164,-0.18369639045333552
1515,dart,0.2,3,10,32,0.004933929443359375,-0.18369639045333552
119,gbdt,0.1,7,25,4,0.0057026386260986325,-0.17809083853659397
203,gbdt,0.1,10,25,4,0.008695149421691894,-0.17809083853659397
231,gbdt,0.1,-1,25,4,0.01491549015045166,-0.17809083853659397
35,gbdt,0.1,4,25,4,0.006345391273498535,-0.17809083853659397
175,gbdt,0.1,9,25,4,0.00804901123046875,-0.17809083853659397
7,gbdt,0.1,3,25,4,0.0057947635650634766,-0.17809083853659397
63,gbdt,0.1,5,25,4,0.0056901216506958004,-0.17809083853659397
91,gbdt,0.1,6,25,4,0.030190110206604004,-0.17809083853659397
147,gbdt,0.1,8,25,4,0.0071687459945678714,-0.17809083853659397
1541,dart,0.2,4,10,8,0.00525510311126709,-0.17399621826290287
1737,dart,0.2,-1,10,8,0.00545189380645752,-0.17305745560182056
1681,dart,0.2,9,10,8,0.007689261436462402,-0.17305745560182056
1625,dart,0.2,7,10,8,0.006170010566711426,-0.17305745560182056
1597,dart,0.2,6,10,8,0.005186986923217773,-0.17305745560182056
1569,dart,0.2,5,10,8,0.0057022333145141605,-0.17305745560182056
1653,dart,0.2,8,10,8,0.0060185670852661135,-0.17305745560182056
1709,dart,0.2,10,10,8,0.010690140724182128,-0.17305745560182056
1932,dart,0.3,9,10,4,0.0032807111740112303,-0.16443086590155628
1820,dart,0.3,5,10,4,0.004812312126159668,-0.16443086590155628
1904,dart,0.3,8,10,4,0.0030581474304199217,-0.16443086590155628
1792,dart,0.3,4,10,4,0.005029749870300293,-0.16443086590155628
1960,dart,0.3,10,10,4,0.0032537698745727537,-0.16443086590155628
1848,dart,0.3,6,10,4,0.003976869583129883,-0.16443086590155628
1988,dart,0.3,-1,10,4,0.0030678749084472657,-0.16443086590155628
1764,dart,0.3,3,10,4,0.0052537679672241214,-0.16443086590155628
1876,dart,0.3,7,10,4,0.005692863464355468,-0.16443086590155628
1421,dart,0.1,8,100,4,0.029142165184020997,-0.1619461682546634
1281,dart,0.1,3,100,4,0.03158602714538574,-0.1619461682546634
1449,dart,0.1,9,100,4,0.0298353910446167,-0.1619461682546634
1309,dart,0.1,4,100,4,0.03435585498809814,-0.1619461682546634
1365,dart,0.1,6,100,4,0.030022168159484865,-0.1619461682546634
1337,dart,0.1,5,100,4,0.028546404838562012,-0.1619461682546634
1477,dart,0.1,10,100,4,0.030596375465393066,-0.1619461682546634
1393,dart,0.1,7,100,4,0.02659459114074707,-0.1619461682546634
1505,dart,0.1,-1,100,4,0.029410600662231445,-0.1619461682546634
1273,dart,0.1,3,25,256,0.00924694538116455,-0.15127225462481764
1270,dart,0.1,3,25,32,0.00912168025970459,-0.15127225462481764
1272,dart,0.1,3,25,128,0.009625959396362304,-0.15127225462481764
1271,dart,0.1,3,25,64,0.00926222801208496,-0.15127225462481764
1268,dart,0.1,3,25,8,0.00846860408782959,-0.15127225462481764
1269,dart,0.1,3,25,16,0.008660626411437989,-0.15127225462481764
257,gbdt,0.2,3,10,128,0.004872894287109375,-0.14987456615269765
256,gbdt,0.2,3,10,64,0.006131815910339356,-0.14987456615269765
255,gbdt,0.2,3,10,32,0.005555105209350586,-0.14987456615269765
258,gbdt,0.2,3,10,256,0.005929136276245117,-0.14987456615269765
254,gbdt,0.2,3,10,16,0.004803895950317383,-0.14987456615269765
253,gbdt,0.2,3,10,8,0.004754948616027832,-0.14987456615269765
1279,dart,0.1,3,50,128,0.018992161750793456,-0.14397568699041147
1277,dart,0.1,3,50,32,0.018120574951171874,-0.14397568699041147
1276,dart,0.1,3,50,16,0.01732950210571289,-0.14397568699041147
1275,dart,0.1,3,50,8,0.016964077949523926,-0.14397568699041147
1278,dart,0.1,3,50,64,0.017566657066345213,-0.14397568699041147
1280,dart,0.1,3,50,256,0.017636680603027345,-0.14397568699041147
1296,dart,0.1,4,25,8,0.009575295448303222,-0.14117035338687686
1408,dart,0.1,8,25,8,0.010477614402770997,-0.14053670023469603
1324,dart,0.1,5,25,8,0.011553478240966798,-0.14053670023469603
1464,dart,0.1,10,25,8,0.009160304069519043,-0.14053670023469603
1352,dart,0.1,6,25,8,0.010876846313476563,-0.14053670023469603
1492,dart,0.1,-1,25,8,0.010923647880554199,-0.14053670023469603
1436,dart,0.1,9,25,8,0.01171560287475586,-0.14053670023469603
1380,dart,0.1,7,25,8,0.012386655807495118,-0.14053670023469603
281,gbdt,0.2,4,10,8,0.007913613319396972,-0.13908745975881975
309,gbdt,0.2,5,10,8,0.004719734191894531,-0.1382015722000845
477,gbdt,0.2,-1,10,8,0.0038746356964111327,-0.13817089667039265
