,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,time
86,NoneType,False,entropy,8,0.1,2,17,256,14,8.657882452011108
87,NoneType,True,gini,NoneType,0.45,1,12,64,14,2.0466620922088623
88,NoneType,True,gini,9,0.05,19,18,512,14,2.1214847564697266
89,NoneType,True,gini,11,0.05,19,3,32,14,0.4123575687408447
90,NoneType,False,gini,12,0.45,20,10,32,14,1.3368556499481201
91,NoneType,False,gini,NoneType,0.2,1,2,256,14,5.533529996871948
92,NoneType,False,entropy,12,0.2,20,4,64,14,3.9353280067443848
93,PCA,False,gini,11,0.25,19,3,64,14,1.9278521537780762
94,PCA,True,gini,NoneType,0.45,11,16,32,14,1.5167536735534668
95,NoneType,True,entropy,10,0.05,1,2,128,14,1.827871561050415
96,NoneType,True,entropy,8,0.25,13,19,512,14,21.339895963668823
97,NoneType,False,gini,NoneType,0.15000000000000002,6,2,256,14,3.714139461517334
98,NoneType,False,entropy,10,0.25,1,16,512,14,42.18413019180298
99,NoneType,False,entropy,8,0.3,1,16,256,14,23.35169768333435
100,PCA,False,gini,9,0.3,20,18,512,14,10.452986001968384
101,NoneType,False,entropy,12,0.15000000000000002,4,7,512,14,25.853452682495117
102,PCA,False,entropy,11,0.2,9,5,256,14,17.377015113830566
103,NoneType,False,entropy,11,0.45,8,19,16,14,2.531052827835083
104,NoneType,False,entropy,NoneType,0.45,15,2,8,14,1.4275519847869873
105,PCA,True,entropy,11,0.45,1,4,256,14,22.65830636024475
106,PCA,True,gini,12,0.2,1,7,512,14,6.827110290527344
107,PCA,True,gini,NoneType,0.35000000000000003,4,17,512,14,9.24885606765747
108,NoneType,False,entropy,12,0.4,1,6,128,14,16.75289225578308
109,NoneType,False,entropy,NoneType,0.2,1,2,256,14,18.156046628952026
110,PCA,False,entropy,8,0.2,6,2,512,14,33.77256679534912
111,NoneType,False,entropy,9,0.15000000000000002,2,19,512,14,25.358299016952515
112,PCA,True,entropy,NoneType,0.2,1,7,512,14,23.467605590820312
113,PCA,True,entropy,10,0.05,2,19,512,14,7.239430904388428
114,PCA,False,entropy,10,0.45,1,13,512,14,73.17840433120728
115,PCA,False,entropy,11,0.2,3,2,8,14,1.3248586654663086
116,PCA,True,gini,11,0.2,1,20,512,14,6.562785387039185
117,NoneType,True,entropy,NoneType,0.05,19,19,512,14,4.832619905471802
118,NoneType,True,entropy,NoneType,0.2,1,8,128,14,5.728367805480957
119,PCA,True,gini,8,0.45,19,3,512,14,9.046822309494019
120,PCA,False,entropy,NoneType,0.4,20,20,512,14,54.1130576133728
121,NoneType,False,entropy,12,0.45,1,19,256,14,36.180636405944824
122,PCA,False,gini,11,0.45,1,2,32,14,2.1252923011779785
123,NoneType,False,gini,NoneType,0.3,20,20,256,14,5.548198223114014
124,NoneType,True,entropy,8,0.4,4,15,256,14,18.05171012878418
125,NoneType,True,entropy,NoneType,0.25,1,18,512,14,25.568730354309082
126,PCA,False,gini,NoneType,0.1,2,12,256,14,3.44953989982605
127,NoneType,False,entropy,11,0.2,1,10,64,14,4.722918272018433
128,NoneType,False,entropy,9,0.35000000000000003,1,6,32,14,3.8342599868774414
129,NoneType,True,gini,NoneType,0.1,1,4,256,14,2.1331443786621094
130,PCA,True,entropy,NoneType,0.1,6,2,64,14,2.2192435264587402
131,NoneType,False,gini,8,0.45,20,20,512,14,15.156022310256958
132,NoneType,True,gini,NoneType,0.45,18,18,16,14,0.6235246658325195
133,NoneType,False,entropy,8,0.25,16,15,512,14,35.687084913253784
134,NoneType,False,gini,11,0.05,17,2,512,14,2.7351670265197754
135,PCA,False,entropy,NoneType,0.35000000000000003,1,8,128,14,15.546616077423096
136,NoneType,True,gini,10,0.15000000000000002,6,8,512,14,4.528682231903076
137,NoneType,True,gini,NoneType,0.15000000000000002,2,12,64,14,0.9044725894927979
138,NoneType,False,entropy,8,0.2,1,13,128,14,8.536303281784058
139,NoneType,False,gini,NoneType,0.35000000000000003,1,3,256,14,8.830522537231445
140,PCA,False,gini,NoneType,0.3,3,2,512,14,13.649699687957764
141,NoneType,False,entropy,12,0.25,1,12,256,14,21.657201528549194
142,NoneType,True,gini,11,0.45,1,20,512,14,12.047380447387695
143,NoneType,False,entropy,NoneType,0.25,6,11,256,14,20.640045166015625
144,NoneType,False,gini,NoneType,0.4,1,5,64,14,2.8231968879699707
145,NoneType,True,entropy,9,0.25,1,6,256,14,12.837017297744751
146,NoneType,True,entropy,12,0.25,3,5,256,14,12.844868659973145
147,NoneType,False,entropy,12,0.25,20,2,512,14,34.89039945602417
148,PCA,False,gini,NoneType,0.35000000000000003,1,16,128,14,4.737371444702148
149,NoneType,False,entropy,8,0.4,2,14,8,14,1.3268179893493652
150,NoneType,True,entropy,12,0.15000000000000002,8,3,512,14,14.550652503967285
151,PCA,True,entropy,12,0.45,1,20,32,14,3.53525972366333
152,PCA,False,gini,NoneType,0.45,6,3,512,14,18.064666986465454
