,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,time
10004,"['DualImputer', 'PCA']",False,entropy,11,0.05,5,8,64,41,0.8093881607055664
10005,"['DualImputer', 'PCA']",True,entropy,9,0.05,7,20,512,41,2.225860834121704
10006,DualImputer,False,entropy,9,0.15000000000000002,3,16,16,41,0.40097975730895996
10007,DualImputer,True,gini,8,0.1,1,9,8,41,0.40018582344055176
10008,DualImputer,False,entropy,NoneType,0.1,8,10,32,41,0.5271914005279541
10009,DualImputer,True,entropy,10,0.3,5,2,8,41,0.39494967460632324
10010,"['DualImputer', 'OneHotEncoder']",True,gini,10,0.05,3,7,64,41,0.5070176124572754
10011,DualImputer,False,gini,11,0.1,6,19,16,41,0.5042333602905273
10012,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.1,2,14,8,41,0.39629483222961426
10013,DualImputer,True,entropy,NoneType,0.1,3,3,8,41,0.4026610851287842
10014,"['DualImputer', 'PCA']",False,entropy,12,0.1,8,17,16,41,0.6034693717956543
10015,DualImputer,True,entropy,10,0.05,1,6,16,41,0.5095901489257812
10016,"['DualImputer', 'PCA']",True,entropy,9,0.05,6,10,64,41,0.8207614421844482
10017,DualImputer,True,entropy,12,0.4,7,8,128,41,0.7195911407470703
10018,"['DualImputer', 'PCA']",True,gini,8,0.05,1,15,256,41,1.112715482711792
10019,"['DualImputer', 'OneHotEncoder']",False,gini,10,0.1,4,6,8,41,0.40029144287109375
10020,DualImputer,False,gini,12,0.35000000000000003,9,6,32,41,0.5107290744781494
10021,DualImputer,False,entropy,10,0.45,9,9,512,41,1.733686923980713
10022,"['DualImputer', 'PCA']",False,gini,NoneType,0.15000000000000002,4,14,64,41,0.7165753841400146
10023,DualImputer,False,entropy,NoneType,0.1,6,17,32,41,0.5035622119903564
10024,DualImputer,False,gini,11,0.1,6,17,512,41,1.6002395153045654
10025,DualImputer,False,gini,12,0.4,9,5,8,41,0.4219682216644287
10026,DualImputer,True,entropy,8,0.4,20,3,16,41,0.44407057762145996
10027,"['DualImputer', 'PCA']",True,entropy,10,0.35000000000000003,19,7,8,41,0.623206615447998
10028,DualImputer,True,gini,8,0.15000000000000002,13,11,8,41,0.41017866134643555
10029,"['DualImputer', 'OneHotEncoder']",True,entropy,10,0.1,17,3,64,41,0.5276317596435547
10030,"['DualImputer', 'PCA']",False,gini,NoneType,0.45,13,20,8,41,0.6429243087768555
10031,DualImputer,False,gini,NoneType,0.4,6,3,16,41,0.4280271530151367
10032,DualImputer,True,entropy,12,0.1,20,18,64,41,0.5196170806884766
10033,"['DualImputer', 'PCA']",True,gini,10,0.3,9,20,8,41,0.6234302520751953
10034,"['DualImputer', 'PCA']",False,entropy,9,0.15000000000000002,11,18,512,41,5.345428228378296
10035,DualImputer,True,entropy,12,0.1,4,7,32,41,0.534522294998169
10036,"['DualImputer', 'OneHotEncoder']",True,gini,10,0.15000000000000002,19,4,32,41,0.5359575748443604
10037,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.1,17,12,8,41,0.42592668533325195
10038,"['DualImputer', 'OneHotEncoder']",True,entropy,9,0.35000000000000003,12,8,16,41,0.4501621723175049
10039,"['DualImputer', 'PCA']",True,entropy,10,0.1,10,18,512,41,3.0556209087371826
10040,DualImputer,False,entropy,8,0.05,10,4,512,41,1.6543152332305908
10041,"['DualImputer', 'OneHotEncoder']",False,entropy,8,0.3,18,18,128,41,0.7170102596282959
10042,"['DualImputer', 'PCA']",False,gini,8,0.3,5,16,32,41,0.7113234996795654
10043,"['DualImputer', 'PCA']",False,entropy,9,0.15000000000000002,15,14,8,41,0.6416361331939697
10044,"['DualImputer', 'PCA']",True,entropy,12,0.15000000000000002,20,12,8,41,0.6338188648223877
10045,DualImputer,False,gini,11,0.05,18,3,512,41,1.5273315906524658
10046,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.45,16,11,32,41,0.5335104465484619
10047,"['DualImputer', 'PCA']",False,gini,11,0.4,11,5,256,41,2.0504603385925293
10048,DualImputer,True,gini,11,0.25,4,14,128,41,0.7461585998535156
10049,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.3,8,7,128,41,0.7406613826751709
10050,"['DualImputer', 'OneHotEncoder']",True,gini,10,0.45,6,11,256,41,1.1461315155029297
10051,"['DualImputer', 'PCA']",False,entropy,NoneType,0.05,17,15,16,41,0.6272995471954346
10052,"['DualImputer', 'PCA']",False,entropy,NoneType,0.1,15,17,8,41,0.6395735740661621
10053,DualImputer,False,entropy,12,0.05,17,19,8,41,0.4368703365325928
10054,"['DualImputer', 'OneHotEncoder']",True,entropy,10,0.25,15,10,256,41,1.0267741680145264
10055,"['DualImputer', 'OneHotEncoder']",True,gini,11,0.45,16,14,512,41,1.7328360080718994
10056,"['DualImputer', 'OneHotEncoder']",False,entropy,10,0.45,14,8,256,41,1.1210532188415527
10057,"['DualImputer', 'PCA']",True,entropy,11,0.1,7,14,128,41,1.1263813972473145
10058,"['DualImputer', 'OneHotEncoder']",False,entropy,8,0.15000000000000002,10,19,512,41,1.6171660423278809
10059,"['DualImputer', 'PCA']",True,entropy,12,0.05,18,11,256,41,1.2220878601074219
10060,"['DualImputer', 'PCA']",False,entropy,8,0.15000000000000002,13,20,64,41,1.143972635269165
10061,DualImputer,False,entropy,9,0.2,15,6,128,41,0.731848955154419
10062,DualImputer,False,gini,12,0.45,8,19,8,41,0.4396178722381592
10063,"['DualImputer', 'PCA']",False,gini,8,0.35000000000000003,4,12,256,41,1.9509527683258057
10064,DualImputer,False,entropy,12,0.15000000000000002,15,2,8,41,0.4201188087463379
10065,DualImputer,False,entropy,12,0.2,20,2,128,41,0.738635778427124
10066,"['DualImputer', 'OneHotEncoder']",False,gini,10,0.3,5,5,256,41,1.0361759662628174
10067,"['DualImputer', 'PCA']",False,gini,9,0.35000000000000003,4,15,512,41,3.4379360675811768
10068,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.05,12,6,256,41,1.0396692752838135
10069,DualImputer,False,entropy,8,0.4,17,19,8,41,0.41614270210266113
10070,"['DualImputer', 'OneHotEncoder']",True,entropy,11,0.2,20,20,16,41,0.41761231422424316
10071,"['DualImputer', 'PCA']",False,entropy,NoneType,0.05,1,8,512,41,2.743328094482422
10072,"['DualImputer', 'PCA']",False,entropy,9,0.25,15,13,64,41,1.3511474132537842
10073,"['DualImputer', 'OneHotEncoder']",True,entropy,9,0.1,20,12,16,41,0.43270325660705566
10074,DualImputer,True,gini,10,0.15000000000000002,17,17,64,41,0.5236389636993408
10075,DualImputer,False,entropy,8,0.15000000000000002,20,2,512,41,1.6377952098846436
10076,"['DualImputer', 'PCA']",True,gini,8,0.45,17,7,512,41,2.6389029026031494
10077,PCA,False,gini,12,0.1,5,17,64,45,1.8332877159118652
10078,OneHotEncoder,False,entropy,NoneType,0.05,17,10,256,45,1.5325298309326172
10079,OneHotEncoder,True,entropy,10,0.45,9,15,256,45,3.2301347255706787
10080,PCA,True,gini,12,0.05,15,11,512,45,3.7198853492736816
10081,PCA,False,gini,10,0.2,3,9,128,45,4.00373911857605
10082,DualImputer,False,gini,8,0.1,12,4,16,41,0.42948389053344727
10083,PCA,False,gini,9,0.05,20,4,256,45,2.644319534301758
10084,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.1,3,3,512,41,1.6234300136566162
10085,NoneType,False,gini,NoneType,0.4,16,10,512,45,4.223985433578491
10086,OneHotEncoder,False,entropy,11,0.45,16,4,64,45,1.4094748497009277
10087,NoneType,True,gini,NoneType,0.15000000000000002,19,5,64,45,0.5991933345794678
10088,NoneType,False,entropy,9,0.3,5,6,128,45,1.3139936923980713
10089,OneHotEncoder,True,entropy,9,0.05,18,15,64,45,0.7159273624420166
10090,OneHotEncoder,True,entropy,NoneType,0.4,17,10,512,45,5.44103479385376
10091,OneHotEncoder,False,gini,10,0.2,19,7,64,45,1.0085370540618896
10092,OneHotEncoder,False,entropy,12,0.25,4,9,512,45,6.632903814315796
10093,OneHotEncoder,False,gini,11,0.05,12,16,512,45,2.8278117179870605
10094,OneHotEncoder,False,gini,8,0.05,20,2,16,45,0.4995400905609131
10095,PCA,False,entropy,8,0.25,3,2,256,45,17.044946432113647
10096,OneHotEncoder,True,gini,11,0.05,13,13,32,45,0.502854585647583
10097,OneHotEncoder,True,entropy,8,0.05,11,2,256,45,1.3110201358795166
10098,NoneType,False,gini,10,0.15000000000000002,9,13,512,45,2.724907159805298
10099,OneHotEncoder,False,entropy,NoneType,0.1,20,20,512,45,3.6431667804718018
10100,NoneType,False,gini,NoneType,0.1,20,8,512,45,2.31378173828125
10101,NoneType,True,entropy,8,0.05,14,2,128,45,0.7087388038635254
10102,OneHotEncoder,False,entropy,8,0.1,12,10,512,45,3.426358222961426
10103,OneHotEncoder,True,entropy,10,0.15000000000000002,5,5,256,45,1.9152042865753174
10104,OneHotEncoder,True,gini,11,0.05,4,2,512,45,2.4061379432678223
10105,OneHotEncoder,True,gini,NoneType,0.1,20,9,512,45,2.8063180446624756
10106,NoneType,False,gini,12,0.05,17,10,256,45,1.2126736640930176
10107,OneHotEncoder,False,gini,NoneType,0.1,20,15,256,45,1.8967347145080566
10108,OneHotEncoder,False,entropy,10,0.05,2,4,512,45,3.1224658489227295
10109,PCA,False,entropy,11,0.1,14,6,512,45,16.040860414505005
10110,OneHotEncoder,False,entropy,9,0.25,20,12,128,45,1.7215170860290527
10111,OneHotEncoder,True,entropy,9,0.35000000000000003,19,20,256,45,2.7169501781463623
10112,OneHotEncoder,False,entropy,9,0.05,8,8,512,45,2.8138175010681152
10113,"['DualImputer', 'OneHotEncoder']",True,entropy,12,0.05,2,14,32,41,0.5016591548919678
10114,"['DualImputer', 'OneHotEncoder']",True,gini,11,0.05,2,6,16,41,0.5077664852142334
10115,DualImputer,True,gini,8,0.1,1,18,8,41,0.4006476402282715
10116,DualImputer,False,entropy,9,0.15000000000000002,1,12,8,41,0.39771246910095215
10117,"['DualImputer', 'PCA']",False,entropy,9,0.25,2,2,32,41,1.021348237991333
10118,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.2,6,8,8,41,0.5191183090209961
10119,DualImputer,True,gini,10,0.4,3,15,512,41,1.6086251735687256
10120,"['DualImputer', 'PCA']",True,gini,11,0.05,8,11,32,41,0.617241621017456
10121,"['DualImputer', 'PCA']",False,entropy,NoneType,0.05,15,20,128,41,1.0042054653167725
10122,DualImputer,True,gini,8,0.25,2,7,512,41,1.6044418811798096
10123,"['DualImputer', 'PCA']",True,gini,NoneType,0.05,9,16,512,41,1.7013983726501465
10124,DualImputer,True,gini,9,0.3,4,16,32,41,0.521770715713501
10125,"['DualImputer', 'OneHotEncoder']",True,entropy,10,0.05,4,4,8,41,0.41644763946533203
10126,DualImputer,False,gini,8,0.1,5,12,64,41,0.5147106647491455
10127,DualImputer,True,entropy,11,0.1,6,20,16,41,0.40088534355163574
10128,"['DualImputer', 'OneHotEncoder']",True,entropy,10,0.1,1,10,8,41,0.41504788398742676
10129,DualImputer,False,entropy,12,0.3,9,10,8,41,0.41387367248535156
10130,DualImputer,False,entropy,12,0.35000000000000003,3,15,32,41,0.5009524822235107
10131,"['DualImputer', 'PCA']",True,gini,NoneType,0.05,2,2,16,41,0.6040589809417725
10132,"['DualImputer', 'OneHotEncoder']",True,gini,8,0.1,1,12,8,41,0.42580413818359375
10133,"['DualImputer', 'PCA']",False,entropy,11,0.05,8,6,64,41,0.8065822124481201
10134,DualImputer,True,entropy,8,0.05,1,4,32,41,0.5024697780609131
10135,DualImputer,False,gini,NoneType,0.15000000000000002,5,19,8,41,0.4144110679626465
10136,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.1,9,3,8,41,0.4133741855621338
10137,"['DualImputer', 'PCA']",False,entropy,10,0.1,1,3,16,41,0.7207663059234619
10138,DualImputer,False,gini,12,0.1,14,11,16,41,0.412731409072876
10139,"['DualImputer', 'OneHotEncoder']",False,entropy,11,0.05,13,4,512,41,1.5034935474395752
10140,"['DualImputer', 'PCA']",True,gini,12,0.05,5,20,512,41,1.8020787239074707
10141,DualImputer,True,gini,9,0.4,3,17,8,41,0.4155538082122803
10142,DualImputer,True,entropy,8,0.35000000000000003,3,5,16,41,0.5182912349700928
10143,DualImputer,False,gini,12,0.1,5,12,16,41,0.4002695083618164
10144,"['DualImputer', 'PCA']",False,gini,11,0.05,10,6,32,41,0.615790843963623
10145,DualImputer,True,entropy,11,0.1,5,19,512,41,1.6244845390319824
10146,DualImputer,False,gini,12,0.25,5,3,16,41,0.4329814910888672
10147,"['DualImputer', 'PCA']",False,entropy,10,0.05,6,15,512,41,2.6386823654174805
10148,DualImputer,False,gini,10,0.1,1,16,32,41,0.5026388168334961
10149,"['DualImputer', 'PCA']",True,gini,9,0.1,3,14,256,41,1.3086357116699219
10150,DualImputer,True,gini,NoneType,0.1,3,12,128,41,0.7204580307006836
10151,DualImputer,True,gini,9,0.25,7,17,16,41,0.5023930072784424
10152,"['DualImputer', 'PCA']",False,entropy,11,0.15000000000000002,8,5,64,41,1.1222949028015137
10153,DualImputer,True,gini,12,0.1,1,10,128,41,0.701244592666626
10154,"['DualImputer', 'OneHotEncoder']",True,entropy,8,0.05,1,7,32,41,0.5117900371551514
10155,DualImputer,True,entropy,9,0.05,3,9,8,41,0.4003565311431885
10156,"['DualImputer', 'OneHotEncoder']",False,entropy,11,0.1,12,14,128,41,0.6977434158325195
10157,DualImputer,True,gini,9,0.1,1,15,64,41,0.517897367477417
10158,"['DualImputer', 'PCA']",True,gini,11,0.25,17,4,512,41,2.1230621337890625
10159,DualImputer,True,gini,8,0.05,2,10,256,41,1.0015716552734375
10160,DualImputer,True,gini,11,0.3,4,19,8,41,0.39623546600341797
10161,DualImputer,True,entropy,9,0.35000000000000003,3,17,8,41,0.3994600772857666
10162,"['DualImputer', 'OneHotEncoder']",False,gini,11,0.45,8,6,8,41,0.524730920791626
10163,DualImputer,False,entropy,10,0.05,5,12,16,41,0.5194766521453857
10164,"['DualImputer', 'OneHotEncoder']",True,entropy,10,0.05,2,19,32,41,0.5028038024902344
10165,DualImputer,True,gini,9,0.2,5,4,8,41,0.39986419677734375
10166,"['DualImputer', 'OneHotEncoder']",True,gini,8,0.25,6,8,8,41,0.40210819244384766
10167,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.1,8,9,32,41,0.5030090808868408
10168,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.05,10,12,512,41,1.6095335483551025
10169,"['DualImputer', 'PCA']",True,gini,12,0.3,5,10,512,41,2.538742780685425
10170,"['DualImputer', 'PCA']",True,entropy,11,0.15000000000000002,17,17,8,41,0.6473278999328613
10171,"['DualImputer', 'OneHotEncoder']",True,entropy,12,0.4,16,14,16,41,0.5359258651733398
10172,DualImputer,False,gini,12,0.25,2,12,512,41,1.6472742557525635
10173,"['DualImputer', 'OneHotEncoder']",True,entropy,12,0.25,20,20,256,41,1.032865285873413
10174,DualImputer,False,gini,9,0.15000000000000002,14,6,256,41,1.0449466705322266
10175,DualImputer,False,entropy,10,0.1,14,12,128,41,0.7391989231109619
10176,"['DualImputer', 'PCA']",False,entropy,12,0.4,18,13,256,41,5.252621173858643
10177,DualImputer,True,gini,NoneType,0.1,8,9,128,41,0.7271847724914551
10178,"['DualImputer', 'OneHotEncoder']",True,entropy,11,0.15000000000000002,8,18,32,41,0.559333086013794
10179,"['DualImputer', 'PCA']",True,entropy,11,0.4,8,6,64,41,1.3489456176757812
10180,"['DualImputer', 'PCA']",False,gini,9,0.2,1,19,512,41,2.858130693435669
10181,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.4,18,3,8,41,0.4293091297149658
10182,DualImputer,False,gini,9,0.25,4,11,256,41,1.0299015045166016
10183,DualImputer,True,gini,10,0.3,19,2,32,41,0.5221352577209473
10184,"['DualImputer', 'PCA']",True,entropy,12,0.35000000000000003,18,20,256,41,3.025167942047119
10185,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.05,9,15,32,41,0.5360109806060791
10186,DualImputer,True,gini,11,0.1,20,12,16,41,0.4473123550415039
10187,"['DualImputer', 'PCA']",False,entropy,12,0.05,10,4,16,41,0.6316704750061035
10188,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.2,10,9,16,41,0.5390143394470215
10189,"['DualImputer', 'PCA']",True,entropy,11,0.25,17,7,256,41,2.543565511703491
10190,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.1,12,9,256,41,1.0168800354003906
10191,"['DualImputer', 'OneHotEncoder']",False,entropy,12,0.3,18,13,32,41,0.5350604057312012
10192,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.3,12,8,512,41,1.7188940048217773
10193,"['DualImputer', 'PCA']",False,entropy,12,0.05,12,15,64,41,0.7331383228302002
10194,DualImputer,True,gini,NoneType,0.4,15,11,64,41,0.5311744213104248
10195,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.1,3,4,512,41,1.6235432624816895
10196,"['DualImputer', 'PCA']",True,entropy,11,0.15000000000000002,20,8,8,41,0.6371986865997314
10197,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.45,12,5,16,41,0.45670032501220703
10198,"['DualImputer', 'OneHotEncoder']",False,gini,9,0.45,10,6,8,41,0.42642641067504883
10199,"['DualImputer', 'OneHotEncoder']",True,gini,10,0.3,1,4,8,41,0.4316599369049072
10200,DualImputer,False,gini,8,0.25,15,8,8,41,0.4247922897338867
10201,DualImputer,True,gini,8,0.05,10,19,512,41,1.6364109516143799
10202,"['DualImputer', 'PCA']",False,gini,11,0.45,6,20,32,41,0.8231420516967773
10203,DualImputer,True,entropy,8,0.45,18,7,8,41,0.4337170124053955
10204,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.05,9,2,32,41,0.5360357761383057
10205,"['DualImputer', 'PCA']",False,entropy,12,0.35000000000000003,8,11,128,41,2.9530880451202393
10206,"['DualImputer', 'OneHotEncoder']",True,gini,NoneType,0.3,8,18,512,41,1.7197895050048828
10207,"['DualImputer', 'PCA']",True,gini,9,0.1,19,17,64,41,0.7303884029388428
10208,DualImputer,True,gini,10,0.4,17,6,32,41,0.5427858829498291
10209,DualImputer,True,gini,8,0.45,19,4,8,41,0.4410855770111084
10210,DualImputer,True,entropy,12,0.45,7,9,8,41,0.42968297004699707
10211,"['DualImputer', 'OneHotEncoder']",True,gini,8,0.15000000000000002,1,16,128,41,0.7140626907348633
10212,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.15000000000000002,17,9,8,41,0.4206540584564209
10213,"['DualImputer', 'OneHotEncoder']",False,gini,10,0.2,14,6,512,41,1.6209347248077393
10214,DualImputer,False,gini,NoneType,0.05,2,19,256,41,1.021305799484253
10215,DualImputer,False,gini,11,0.05,16,13,8,41,0.4382615089416504
10216,"['DualImputer', 'PCA']",True,gini,10,0.45,2,4,128,41,1.2342848777770996
10217,"['DualImputer', 'OneHotEncoder']",True,gini,8,0.25,16,9,256,41,1.043562650680542
10218,"['DualImputer', 'OneHotEncoder']",True,gini,9,0.15000000000000002,17,12,16,41,0.5396575927734375
10219,DualImputer,False,gini,12,0.35000000000000003,10,16,64,41,0.5381057262420654
10220,"['DualImputer', 'OneHotEncoder']",True,entropy,9,0.1,6,15,256,41,1.0498230457305908
10221,"['DualImputer', 'OneHotEncoder']",False,entropy,11,0.05,19,11,512,41,1.6471705436706543
10222,"['DualImputer', 'PCA']",False,gini,11,0.1,13,9,8,41,0.6314704418182373
10223,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.3,1,15,128,41,0.7342526912689209
10224,OneHotEncoder,True,entropy,12,0.25,3,12,512,45,4.733872413635254
10225,OneHotEncoder,False,gini,12,0.05,20,3,128,45,0.9141075611114502
10226,"['DualImputer', 'OneHotEncoder']",True,entropy,8,0.1,4,8,8,41,0.4100227355957031
10227,OneHotEncoder,True,entropy,8,0.05,16,5,512,45,2.33856201171875
10228,OneHotEncoder,False,gini,12,0.05,11,9,512,45,2.838740825653076
10229,OneHotEncoder,False,entropy,8,0.1,4,10,128,45,1.2149932384490967
10230,OneHotEncoder,True,gini,11,0.45,17,2,256,45,3.021116018295288
10231,OneHotEncoder,False,gini,NoneType,0.05,1,20,256,45,1.6117055416107178
10232,OneHotEncoder,False,entropy,11,0.1,6,6,128,45,1.3159239292144775
10233,OneHotEncoder,False,gini,12,0.05,8,14,512,45,2.9195244312286377
10234,OneHotEncoder,True,gini,10,0.05,20,7,256,45,1.3125908374786377
10235,OneHotEncoder,False,entropy,11,0.05,14,6,128,45,1.0091004371643066
10236,PCA,False,entropy,8,0.45,13,20,64,45,7.234637498855591
10237,OneHotEncoder,False,gini,NoneType,0.25,13,20,512,45,5.930255174636841
10238,OneHotEncoder,False,gini,NoneType,0.05,14,18,256,45,1.530937910079956
10239,OneHotEncoder,True,gini,10,0.1,3,20,512,45,2.9307539463043213
10240,OneHotEncoder,False,gini,10,0.05,10,17,256,45,1.610468864440918
10241,OneHotEncoder,False,gini,11,0.2,20,16,64,45,1.0157639980316162
10242,OneHotEncoder,False,entropy,9,0.25,3,4,512,45,6.233566045761108
10243,OneHotEncoder,False,gini,9,0.4,20,14,512,45,7.543001890182495
10244,OneHotEncoder,False,gini,9,0.1,20,19,256,45,1.9072413444519043
10245,NoneType,False,gini,10,0.05,5,3,512,45,2.112528085708618
10246,OneHotEncoder,True,gini,8,0.05,5,2,256,45,1.3269941806793213
10247,OneHotEncoder,False,gini,8,0.05,1,7,128,45,0.9053101539611816
10248,OneHotEncoder,False,entropy,10,0.15000000000000002,17,2,128,45,1.410010576248169
10249,NoneType,True,gini,12,0.05,2,5,128,45,0.8151366710662842
10250,OneHotEncoder,False,entropy,8,0.1,17,2,512,45,3.418546676635742
10251,OneHotEncoder,False,entropy,12,0.05,14,17,128,45,1.0082123279571533
10252,OneHotEncoder,False,gini,8,0.05,3,6,128,45,1.0057978630065918
10253,OneHotEncoder,False,gini,12,0.3,19,3,512,45,6.413724184036255
10254,OneHotEncoder,False,gini,10,0.15000000000000002,14,10,512,45,4.312748670578003
10255,OneHotEncoder,False,entropy,10,0.05,15,17,512,45,2.715726613998413
10256,OneHotEncoder,False,gini,12,0.05,6,3,64,45,0.8101291656494141
10257,OneHotEncoder,False,entropy,12,0.05,19,3,128,45,1.0102789402008057
10258,OneHotEncoder,False,gini,12,0.05,13,10,256,45,1.4960501194000244
10259,OneHotEncoder,False,gini,11,0.05,11,16,256,45,1.509089469909668
10260,OneHotEncoder,True,gini,11,0.05,5,20,8,45,0.5188694000244141
10261,OneHotEncoder,False,gini,10,0.2,3,5,512,45,5.415708065032959
10262,OneHotEncoder,False,gini,10,0.05,14,11,128,45,0.9088404178619385
10263,OneHotEncoder,True,entropy,NoneType,0.05,6,15,512,45,2.533827543258667
10264,NoneType,True,gini,10,0.05,15,9,32,45,0.5440328121185303
10265,OneHotEncoder,False,gini,11,0.45,7,5,256,45,4.719174385070801
10266,NoneType,True,gini,11,0.2,20,6,512,45,2.4163506031036377
10267,OneHotEncoder,True,entropy,11,0.15000000000000002,15,5,512,45,3.4233896732330322
10268,OneHotEncoder,False,entropy,8,0.05,17,12,512,45,2.608225107192993
10269,OneHotEncoder,False,gini,12,0.25,3,11,128,45,1.920793056488037
10270,OneHotEncoder,False,entropy,11,0.15000000000000002,20,2,256,45,2.3117051124572754
10271,OneHotEncoder,True,gini,NoneType,0.1,10,20,256,45,1.6127448081970215
10272,OneHotEncoder,False,gini,9,0.2,8,11,128,45,1.6164939403533936
10273,OneHotEncoder,True,gini,NoneType,0.05,10,16,128,45,0.908562183380127
10274,NoneType,False,entropy,12,0.05,20,5,512,45,2.0092148780822754
10275,OneHotEncoder,True,gini,10,0.05,5,11,512,45,2.4090495109558105
10276,OneHotEncoder,True,gini,11,0.05,5,19,512,45,2.4278323650360107
10277,OneHotEncoder,True,gini,NoneType,0.05,14,9,128,45,0.9100701808929443
10278,OneHotEncoder,False,entropy,8,0.05,5,12,128,45,1.0312011241912842
10279,PCA,False,gini,12,0.3,16,13,64,45,2.905640125274658
10280,OneHotEncoder,False,gini,NoneType,0.05,16,20,256,45,1.5133271217346191
10281,OneHotEncoder,True,gini,12,0.05,4,5,128,45,0.9013290405273438
10282,OneHotEncoder,True,entropy,11,0.05,20,19,128,45,0.9204423427581787
10283,OneHotEncoder,False,entropy,12,0.1,7,16,64,45,0.9164910316467285
10284,OneHotEncoder,False,entropy,9,0.35000000000000003,20,3,128,45,2.1162242889404297
10285,OneHotEncoder,True,gini,12,0.25,1,16,64,45,0.9098477363586426
10286,DualImputer,False,gini,12,0.25,12,7,32,41,0.516333818435669
10287,"['DualImputer', 'PCA']",True,gini,NoneType,0.2,1,7,256,41,1.4151737689971924
10288,"['DualImputer', 'PCA']",True,gini,12,0.05,18,8,64,41,0.6149730682373047
10289,DualImputer,True,gini,8,0.05,2,6,16,41,0.5201749801635742
10290,DualImputer,True,gini,8,0.3,1,7,256,41,1.019646406173706
10291,DualImputer,True,gini,NoneType,0.3,9,9,32,41,0.5037169456481934
10292,DualImputer,True,entropy,12,0.3,13,15,32,41,0.503673791885376
10293,"['DualImputer', 'PCA']",True,entropy,NoneType,0.2,4,2,8,41,0.6087565422058105
10294,"['DualImputer', 'OneHotEncoder']",False,gini,9,0.35000000000000003,1,19,32,41,0.5018508434295654
10295,"['DualImputer', 'PCA']",False,entropy,9,0.05,17,2,64,41,0.8074164390563965
10296,"['DualImputer', 'PCA']",False,entropy,12,0.2,18,5,256,41,3.2243263721466064
10297,"['DualImputer', 'PCA']",True,entropy,NoneType,0.1,10,16,64,41,0.8023419380187988
10298,"['DualImputer', 'PCA']",False,gini,NoneType,0.05,14,8,64,41,0.7096264362335205
10299,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.4,16,8,128,41,0.8053679466247559
10300,"['DualImputer', 'PCA']",False,gini,12,0.05,17,7,128,41,0.8032865524291992
10301,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.05,2,6,512,41,1.6164939403533936
10302,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.1,3,8,64,41,0.5012378692626953
10303,DualImputer,False,entropy,9,0.1,14,6,256,41,1.0032508373260498
10304,DualImputer,True,gini,12,0.25,3,13,16,41,0.41555285453796387
10305,"['DualImputer', 'PCA']",True,entropy,10,0.05,7,3,64,41,0.7055702209472656
10306,DualImputer,False,gini,10,0.1,2,12,8,41,0.4173877239227295
10307,"['DualImputer', 'PCA']",True,entropy,8,0.1,3,20,32,41,0.7192122936248779
10308,"['DualImputer', 'PCA']",False,gini,9,0.1,19,7,32,41,0.6234362125396729
10309,DualImputer,False,gini,NoneType,0.15000000000000002,1,9,16,41,0.39870119094848633
10310,DualImputer,True,gini,NoneType,0.1,4,8,64,41,0.5025005340576172
10311,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.35000000000000003,2,2,16,41,0.5053472518920898
10312,DualImputer,False,gini,8,0.1,9,17,256,41,0.998485803604126
10313,"['DualImputer', 'PCA']",True,entropy,10,0.05,9,11,512,41,2.1078224182128906
10314,"['DualImputer', 'PCA']",True,entropy,8,0.05,20,14,128,41,0.8159153461456299
10315,"['DualImputer', 'PCA']",True,entropy,11,0.05,13,4,256,41,1.3245081901550293
10316,DualImputer,True,entropy,9,0.45,2,15,8,41,0.4161660671234131
10317,"['DualImputer', 'PCA']",False,gini,11,0.4,19,14,512,41,3.2126753330230713
10318,DualImputer,True,entropy,11,0.1,18,20,16,41,0.5195760726928711
10319,"['DualImputer', 'PCA']",True,entropy,NoneType,0.1,18,20,128,41,1.1077849864959717
10320,"['DualImputer', 'PCA']",False,entropy,12,0.1,19,20,256,41,2.0100133419036865
